序号,传输方向,时间标识,ID(HEX),帧格式,帧类型,数据长度,数据(HEX),
0,接收,346.1561,00000020 H,标准帧,数据帧,1,F8 ,
1,接收,346.1630,00000100 H,标准帧,数据帧,8,00 00 48 01 9C D0 B3 38 ,
2,接收,346.1632,00000100 H,标准帧,数据帧,8,04 CD 37 34 4C D0 B3 2E ,
3,接收,346.1634,00000100 H,标准帧,数据帧,8,08 CD 37 32 EC CD 73 39 ,
4,接收,346.1636,00000100 H,标准帧,数据帧,8,0C CC B7 32 3C D2 73 32 ,
5,接收,346.1639,00000100 H,标准帧,数据帧,8,10 C9 E7 2A 1C A7 F2 A7 ,
6,接收,346.1641,00000100 H,标准帧,数据帧,8,14 CA 8B 27 FC A9 72 9F ,
7,接收,346.1643,00000100 H,标准帧,数据帧,8,18 CA BB 2A 8C AC 72 66 ,
8,接收,346.1646,00000100 H,标准帧,数据帧,8,1C CA 97 28 9C AB F2 8A ,
9,接收,346.1648,00000101 H,标准帧,数据帧,8,00 00 50 01 5C CD 33 42 ,
10,接收,346.1650,00000101 H,标准帧,数据帧,8,04 CC C7 34 1C CE 73 48 ,
11,接收,346.1653,00000101 H,标准帧,数据帧,8,08 CC 83 34 8C D0 33 2C ,
12,接收,346.1655,00000101 H,标准帧,数据帧,8,0C CD 23 31 CC CD 33 3A ,
13,接收,346.1657,00000101 H,标准帧,数据帧,8,10 CA 5B 25 6C A6 32 B8 ,
14,接收,346.1659,00000101 H,标准帧,数据帧,8,14 CA 9B 2A CC AD B2 A7 ,
15,接收,346.1662,00000101 H,标准帧,数据帧,8,18 CA AF 2A FC AA B2 94 ,
16,接收,346.1664,00000101 H,标准帧,数据帧,8,1C CA 97 27 4C AC F2 92 ,
17,接收,346.1667,00000102 H,标准帧,数据帧,8,00 00 48 01 20 05 40 13 ,
18,接收,346.1669,00000102 H,标准帧,数据帧,8,04 CC CB 32 4C CE B3 48 ,
19,接收,346.1671,00000102 H,标准帧,数据帧,8,08 CC 9B 33 4C CD B3 33 ,
20,接收,346.1673,00000102 H,标准帧,数据帧,8,0C CD 0F 33 3C CB 33 30 ,
21,接收,346.1676,00000102 H,标准帧,数据帧,8,10 CA 6B 29 7C AB 32 91 ,
22,接收,346.1678,00000102 H,标准帧,数据帧,8,14 CA 33 28 9C AC 72 92 ,
23,接收,346.1680,00000102 H,标准帧,数据帧,8,18 CA BF 29 FC A8 72 B4 ,
24,接收,346.1683,00000102 H,标准帧,数据帧,8,1C CA 97 2A EC A7 32 88 ,
25,接收,346.1762,00000020 H,标准帧,数据帧,1,FA ,
26,接收,346.1808,00000200 H,标准帧,数据帧,8,00 73 75 CD 9F FE BF FA ,
27,接收,346.1810,00000200 H,标准帧,数据帧,8,04 FF EF FF BF FE DD 3E ,
28,接收,346.1813,00000201 H,标准帧,数据帧,8,00 75 09 D1 0F FF 7F FD ,
29,接收,346.1815,00000201 H,标准帧,数据帧,8,04 74 D5 D3 7F FE DD 33 ,
30,接收,346.1817,00000202 H,标准帧,数据帧,8,00 73 FF FF DF FF 7F FD ,
31,接收,346.1820,00000202 H,标准帧,数据帧,8,04 74 0D CD 8F FF 1D 09 ,
32,接收,346.2174,00000040 H,标准帧,数据帧,5,00 00 00 00 00 ,
33,接收,346.2194,00000300 H,标准帧,数据帧,4,00 00 00 00 ,
34,接收,346.2775,00000020 H,标准帧,数据帧,1,F8 ,
35,接收,346.2844,00000100 H,标准帧,数据帧,8,00 00 48 01 9C D0 B3 39 ,
36,接收,346.2846,00000100 H,标准帧,数据帧,8,04 CD 37 34 4C D1 33 2F ,
37,接收,346.2848,00000100 H,标准帧,数据帧,8,08 CD 33 32 FC CD B3 35 ,
38,接收,346.2851,00000100 H,标准帧,数据帧,8,0C CC B7 32 4C D2 F3 32 ,
39,接收,346.2853,00000100 H,标准帧,数据帧,8,10 C9 E3 2A 1C A7 72 A8 ,
40,接收,346.2855,00000100 H,标准帧,数据帧,8,14 CA 8B 27 FC A9 B2 A1 ,
41,接收,346.2857,00000100 H,标准帧,数据帧,8,18 CA C7 2A 9C AC B2 64 ,
42,接收,346.2860,00000100 H,标准帧,数据帧,8,1C CA 97 28 CC AC 32 8C ,
43,接收,346.2862,00000101 H,标准帧,数据帧,8,00 00 50 01 6C CD 73 41 ,
44,接收,346.2865,00000101 H,标准帧,数据帧,8,04 CC BF 34 2C CF 33 46 ,
45,接收,346.2867,00000101 H,标准帧,数据帧,8,08 CC 87 34 8C D0 33 2E ,
46,接收,346.2869,00000101 H,标准帧,数据帧,8,0C CD 23 31 EC CC 33 39 ,
47,接收,346.2871,00000101 H,标准帧,数据帧,8,10 CA 5F 25 5C A5 F2 B9 ,
48,接收,346.2874,00000101 H,标准帧,数据帧,8,14 CA 93 2A BC AD 72 A7 ,
49,接收,346.2876,00000101 H,标准帧,数据帧,8,18 CA AF 2A EC AA F2 96 ,
50,接收,346.2878,00000101 H,标准帧,数据帧,8,1C CA 97 27 1C AD 72 91 ,
51,接收,346.2881,00000102 H,标准帧,数据帧,8,00 00 48 01 20 05 40 13 ,
52,接收,346.2883,00000102 H,标准帧,数据帧,8,04 CC CF 32 8C CE 33 46 ,
53,接收,346.2885,00000102 H,标准帧,数据帧,8,08 CC 83 33 2C CD 73 35 ,
54,接收,346.2888,00000102 H,标准帧,数据帧,8,0C CD 17 33 5C CA F3 2D ,
55,接收,346.2890,00000102 H,标准帧,数据帧,8,10 CA 67 29 8C AB 72 90 ,
56,接收,346.2892,00000102 H,标准帧,数据帧,8,14 CA 2B 28 AC AC 72 92 ,
57,接收,346.2894,00000102 H,标准帧,数据帧,8,18 CA B7 2A 2C A8 B2 B3 ,
58,接收,346.2897,00000102 H,标准帧,数据帧,8,1C CA 93 2A EC A6 F2 87 ,
59,接收,346.3789,00000020 H,标准帧,数据帧,1,F8 ,
60,接收,346.3857,00000100 H,标准帧,数据帧,8,00 00 48 01 9C D0 73 3A ,
61,接收,346.3860,00000100 H,标准帧,数据帧,8,04 CD 37 34 5C D0 F3 2F ,
62,接收,346.3862,00000100 H,标准帧,数据帧,8,08 CD 2F 33 0C CD B3 37 ,
63,接收,346.3864,00000100 H,标准帧,数据帧,8,0C CC B3 32 6C D2 B3 32 ,
64,接收,346.3867,00000100 H,标准帧,数据帧,8,10 C9 E3 2A 2C A7 F2 A7 ,
65,接收,346.3869,00000100 H,标准帧,数据帧,8,14 CA 8B 28 0C A9 F2 A0 ,
66,接收,346.3871,00000100 H,标准帧,数据帧,8,18 CA BF 2A AC AC B2 64 ,
67,接收,346.3873,00000100 H,标准帧,数据帧,8,1C CA 93 28 BC AC 72 8C ,
68,接收,346.3876,00000101 H,标准帧,数据帧,8,00 00 50 01 7C CD 33 3F ,
69,接收,346.3878,00000101 H,标准帧,数据帧,8,04 CC C7 33 FC CE F3 47 ,
70,接收,346.3881,00000101 H,标准帧,数据帧,8,08 CC 87 34 AC D0 33 2C ,
71,接收,346.3883,00000101 H,标准帧,数据帧,8,0C CD 23 31 FC CC B3 3A ,
72,接收,346.3885,00000101 H,标准帧,数据帧,8,10 CA 5B 25 7C A5 F2 B9 ,
73,接收,346.3887,00000101 H,标准帧,数据帧,8,14 CA 97 2A FC AC F2 A7 ,
74,接收,346.3890,00000101 H,标准帧,数据帧,8,18 CA AF 2A FC AA F2 97 ,
75,接收,346.3892,00000101 H,标准帧,数据帧,8,1C CA 97 27 1C AC B2 8F ,
76,接收,346.3894,00000102 H,标准帧,数据帧,8,00 00 48 01 30 05 00 13 ,
77,接收,346.3897,00000102 H,标准帧,数据帧,8,04 CC CF 32 6C CD F3 46 ,
78,接收,346.3899,00000102 H,标准帧,数据帧,8,08 CC 87 33 2C CD B3 35 ,
79,接收,346.3901,00000102 H,标准帧,数据帧,8,0C CD 17 33 3C CB 33 2E ,
80,接收,346.3904,00000102 H,标准帧,数据帧,8,10 CA 5F 29 7C AB 32 8F ,
81,接收,346.3906,00000102 H,标准帧,数据帧,8,14 CA 2B 28 AC AB F2 92 ,
82,接收,346.3908,00000102 H,标准帧,数据帧,8,18 CA BF 2A 2C A8 72 AF ,
83,接收,346.3910,00000102 H,标准帧,数据帧,8,1C CA 97 2A EC A7 32 89 ,
84,接收,346.4802,00000020 H,标准帧,数据帧,1,F8 ,
85,接收,346.4871,00000100 H,标准帧,数据帧,8,00 00 44 01 9C CF 73 35 ,
86,接收,346.4873,00000100 H,标准帧,数据帧,8,04 CD 2B 34 3C D0 33 2B ,
87,接收,346.4875,00000100 H,标准帧,数据帧,8,08 CD 2B 32 FC CC F3 35 ,
88,接收,346.4878,00000100 H,标准帧,数据帧,8,0C CC AF 32 3C D2 B3 2F ,
89,接收,346.4880,00000100 H,标准帧,数据帧,8,10 C9 E7 2A 5C A7 72 AB ,
90,接收,346.4882,00000100 H,标准帧,数据帧,8,14 CA 8F 27 FC A9 72 A1 ,
91,接收,346.4885,00000100 H,标准帧,数据帧,8,18 CA C3 2A AC AC B2 64 ,
92,接收,346.4887,00000100 H,标准帧,数据帧,8,1C CA 93 28 BC AC 32 8A ,
93,接收,346.4889,00000101 H,标准帧,数据帧,8,00 00 50 01 6C CD 73 3F ,
94,接收,346.4892,00000101 H,标准帧,数据帧,8,04 CC BF 34 0C CF 33 49 ,
95,接收,346.4894,00000101 H,标准帧,数据帧,8,08 CC 97 34 7C CF B3 2D ,
96,接收,346.4896,00000101 H,标准帧,数据帧,8,0C CD 27 32 0C CD 33 3A ,
97,接收,346.4899,00000101 H,标准帧,数据帧,8,10 CA 5F 25 8C A6 F2 B9 ,
98,接收,346.4901,00000101 H,标准帧,数据帧,8,14 CA 8F 2A BC AC 72 A5 ,
99,接收,346.4903,00000101 H,标准帧,数据帧,8,18 CA B3 2B 1C AB B2 98 ,
100,接收,346.4905,00000101 H,标准帧,数据帧,8,1C CA 8F 27 0C AC B2 91 ,
101,接收,346.4908,00000102 H,标准帧,数据帧,8,00 00 4C 01 20 05 00 13 ,
102,接收,346.4910,00000102 H,标准帧,数据帧,8,04 CC C7 32 7C CE B3 48 ,
103,接收,346.4912,00000102 H,标准帧,数据帧,8,08 CC 87 33 5C CD 73 37 ,
104,接收,346.4915,00000102 H,标准帧,数据帧,8,0C CD 13 33 8C CB B3 31 ,
105,接收,346.4917,00000102 H,标准帧,数据帧,8,10 CA 5F 29 7C AA F2 91 ,
106,接收,346.4919,00000102 H,标准帧,数据帧,8,14 CA 2B 28 9C AB F2 94 ,
107,接收,346.4922,00000102 H,标准帧,数据帧,8,18 CA BF 29 FC A8 32 B3 ,
108,接收,346.4924,00000102 H,标准帧,数据帧,8,1C CA 93 2A DC A6 B2 89 ,
